,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4042,2024,EN,FT,Data Integration Engineer,135000,US,Fully remote,US,M
4043,2024,EN,FT,Data Integration Engineer,115000,US,Fully remote,US,M
4044,2024,MI,FT,Data Scientist,61105,GB,In person,GB,M
4045,2024,MI,FT,Data Scientist,53133,GB,In person,GB,M
4046,2024,SE,FT,Data Lead,88973,US,In person,US,M
4047,2024,SE,FT,Data Lead,76075,US,In person,US,M
4048,2024,SE,FT,Data Scientist,156000,US,In person,US,M
4049,2024,SE,FT,Data Scientist,95105,US,In person,US,M
4050,2024,MI,FT,Data Specialist,94415,US,In person,US,M
4051,2024,MI,FT,Data Specialist,69785,US,In person,US,M
4052,2024,MI,FT,Data Engineer,140000,US,In person,US,M
4053,2024,MI,FT,Data Engineer,65000,US,In person,US,M
4054,2024,EN,FT,Machine Learning Engineer,162240,US,In person,US,M
4055,2024,EN,FT,Machine Learning Engineer,47840,US,In person,US,M
4056,2024,EN,FT,Applied Scientist,166000,US,Fully remote,US,M
4057,2024,EN,FT,Applied Scientist,104000,US,Fully remote,US,M
4058,2024,MI,FT,Research Scientist,184800,US,In person,US,M
4059,2024,MI,FT,Research Scientist,107100,US,In person,US,M
4060,2024,SE,FT,Research Scientist,247250,US,In person,US,M
4061,2024,SE,FT,Research Scientist,100000,US,In person,US,M
4062,2024,MI,FT,Data Specialist,95000,US,Fully remote,US,M
4063,2024,MI,FT,Data Specialist,75000,US,Fully remote,US,M
4064,2024,MI,FT,Data Science,120000,US,Fully remote,US,M
4065,2024,MI,FT,Data Science,80000,US,Fully remote,US,M
4066,2024,MI,FT,Data Scientist,171240,US,In person,US,M
4067,2024,MI,FT,Data Scientist,81960,US,In person,US,M
4068,2024,EX,FT,Data Scientist,160000,US,In person,US,M
4069,2024,EX,FT,Data Scientist,100000,US,In person,US,M
4070,2024,SE,FT,Research Engineer,150000,US,In person,US,M
4071,2024,SE,FT,Research Engineer,80000,US,In person,US,M
4072,2024,SE,FT,Machine Learning Engineer,212800,US,Fully remote,US,M
4073,2024,SE,FT,Machine Learning Engineer,177300,US,Fully remote,US,M
4074,2024,SE,FT,Data Engineer,144000,US,In person,US,M
4075,2024,SE,FT,Data Engineer,113000,US,In person,US,M
4076,2024,MI,FT,Data Science,120000,US,Fully remote,US,M
4077,2024,MI,FT,Data Science,80000,US,Fully remote,US,M
4078,2024,SE,FT,Data Architect,246500,US,In person,US,M
4079,2024,SE,FT,Data Architect,168500,US,In person,US,M
4080,2024,MI,FT,Data Scientist,140000,US,In person,US,M
4081,2024,MI,FT,Data Scientist,125000,US,In person,US,M
4082,2024,EN,FT,Data Analyst,93000,US,In person,US,M
4083,2024,EN,FT,Data Analyst,65750,US,In person,US,M
4084,2024,SE,FT,Prompt Engineer,175000,US,In person,US,M
4085,2024,SE,FT,Prompt Engineer,140000,US,In person,US,M
4086,2024,SE,FT,Data Engineer,169200,US,In person,US,M
4087,2024,SE,FT,Data Engineer,130100,US,In person,US,M
4088,2024,EX,FT,BI Developer,204500,US,In person,US,M
4089,2024,EX,FT,BI Developer,130000,US,In person,US,M
4090,2024,SE,FT,Research Scientist,278700,US,In person,US,M
4091,2024,SE,FT,Research Scientist,159300,US,In person,US,M
4092,2024,SE,FT,Data Engineer,140000,US,In person,US,M
4093,2024,SE,FT,Data Engineer,95000,US,In person,US,M
4094,2024,EX,FT,Data Engineer,219650,US,Fully remote,US,M
4095,2024,EX,FT,Data Engineer,136000,US,Fully remote,US,M
4096,2024,SE,FT,Data Engineer,140000,US,Fully remote,US,M
4097,2024,SE,FT,Data Engineer,90000,US,Fully remote,US,M
4099,2024,SE,FT,Data Science,220000,US,Fully remote,US,M
4100,2024,SE,FT,Machine Learning Engineer,230000,US,Fully remote,US,M
4101,2024,SE,FT,Machine Learning Engineer,175000,US,Fully remote,US,M
4102,2024,SE,FT,Data Engineer,145360,US,Fully remote,US,M
4103,2024,SE,FT,Data Engineer,107440,US,Fully remote,US,M
4104,2024,MI,FT,Data Science,179000,US,In person,US,M
4105,2024,MI,FT,Data Science,106500,US,In person,US,M
4106,2024,SE,FT,Data Engineer,187000,US,In person,US,M
4107,2024,SE,FT,Data Engineer,143800,US,In person,US,M
4108,2024,MI,FT,Machine Learning Engineer,133903,US,Fully remote,US,M
4109,2024,MI,FT,Machine Learning Engineer,96411,US,Fully remote,US,M
4110,2024,EN,FT,Data Analyst,93000,US,In person,US,M
4111,2024,EN,FT,Data Analyst,65750,US,In person,US,M
4112,2024,SE,FT,Data Scientist,195000,US,In person,US,M
4113,2024,SE,FT,Data Scientist,165000,US,In person,US,M
4114,2024,MI,FT,Data Analyst,81650,US,In person,US,M
4115,2024,MI,FT,Data Analyst,51175,US,In person,US,M
4116,2024,MI,FT,Data Engineer,210000,US,In person,US,M
4117,2024,MI,FT,Data Engineer,140000,US,In person,US,M
4118,2024,SE,FT,Machine Learning Engineer,232000,US,Fully remote,US,M
4119,2024,SE,FT,Machine Learning Engineer,208000,US,Fully remote,US,M
4120,2023,EN,FT,Admin & Data Analyst,50000,DE,In person,DE,M
4121,2024,SE,FT,Data Management Specialist,200400,US,In person,US,M
4122,2024,SE,FT,Data Management Specialist,116500,US,In person,US,M
4123,2024,SE,FT,Data Scientist,188500,US,In person,US,M
4124,2024,SE,FT,Data Scientist,165100,US,In person,US,M
4125,2024,MI,FT,Data Product Manager,166363,US,In person,US,M
4126,2024,MI,FT,Data Product Manager,103977,US,In person,US,M
4127,2024,MI,FT,Data Engineer,128600,US,In person,US,M
4128,2024,MI,FT,Data Engineer,100000,US,In person,US,M
4129,2024,SE,FT,Data Analyst,133650,US,Fully remote,US,M
4130,2024,SE,FT,Data Analyst,68150,US,Fully remote,US,M
4131,2024,SE,FT,Data Engineer,210000,US,In person,US,M
4132,2024,SE,FT,Data Engineer,181000,US,In person,US,M
4133,2024,SE,FT,Data Architect,257600,US,In person,US,M
4134,2024,SE,FT,Data Architect,224100,US,In person,US,M
4135,2024,MI,FT,Data Scientist,144200,US,Fully remote,US,M
4136,2024,MI,FT,Data Scientist,72100,US,Fully remote,US,M
4137,2024,MI,FT,Data Scientist,229900,US,In person,US,M
4138,2024,MI,FT,Data Scientist,201400,US,In person,US,M
4139,2024,MI,FT,Data Scientist,212000,US,In person,US,M
4140,2024,MI,FT,Data Scientist,93300,US,In person,US,M
4141,2024,SE,FT,Data Analyst,135000,US,In person,US,M
4142,2024,SE,FT,Data Analyst,90000,US,In person,US,M
4143,2024,SE,FT,Data Analyst,107000,US,In person,US,M
4144,2024,SE,FT,Data Analyst,68400,US,In person,US,M
4145,2024,SE,FT,Data Engineer,145000,US,In person,US,M
4146,2024,SE,FT,Data Engineer,95000,US,In person,US,M
4147,2024,SE,FT,Data Engineer,230000,US,In person,US,M
4148,2024,SE,FT,Data Engineer,200000,US,In person,US,M
4149,2024,MI,FT,Machine Learning Engineer,280000,US,In person,US,M
4150,2024,MI,FT,Machine Learning Engineer,230000,US,In person,US,M
4151,2024,SE,FT,Data Scientist,81250,US,In person,US,M
4152,2024,SE,FT,Data Scientist,68750,US,In person,US,M
4153,2024,SE,FT,Data Science,267900,US,In person,US,M
4154,2024,SE,FT,Data Science,234700,US,In person,US,M
4155,2024,SE,FT,ML Engineer,220000,US,In person,US,M
4156,2024,SE,FT,ML Engineer,170000,US,In person,US,M
4157,2024,MI,FT,Data Manager,90500,US,In person,US,M
4158,2024,MI,FT,Data Manager,49900,US,In person,US,M
4159,2024,SE,FT,Machine Learning Engineer,186153,CA,In person,CA,M
4160,2024,SE,FT,Machine Learning Engineer,165384,CA,In person,CA,M
4161,2024,SE,FT,Data Scientist,180000,US,In person,US,M
4162,2024,SE,FT,Data Scientist,162000,US,In person,US,M
4163,2024,SE,FT,Data Scientist,165000,US,In person,US,M
4164,2024,SE,FT,Data Scientist,71000,US,In person,US,M
4165,2024,MI,FT,Research Engineer,280000,US,In person,US,M
4166,2024,MI,FT,Research Engineer,230000,US,In person,US,M
4167,2024,SE,FT,Data Scientist,155000,US,In person,US,M
4168,2024,SE,FT,Data Scientist,139500,US,In person,US,M
4169,2024,MI,FT,Machine Learning Engineer,166666,DE,In person,DE,M
4170,2024,MI,FT,Machine Learning Engineer,133333,DE,In person,DE,M
4171,2024,MI,FT,Data Analytics Consultant,94625,US,Fully remote,US,M
4172,2024,MI,FT,Data Analytics Consultant,57500,US,Fully remote,US,M
4173,2024,MI,FT,Data Analyst,107755,US,Fully remote,US,M
4174,2024,MI,FT,Data Analyst,79645,US,Fully remote,US,M
